Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,food pantry,safe housing,anger management,understand mental health,support network,outpatient treatment,computer or internet access,baby supplies,counseling,after school care,disaster response,addiction & recovery,residential housing,spiritual support,detox,help find housing,sober living,parenting education,skills & training,food delivery,navigating the system,personal care items,help find work,toys & gifts,community support services,home goods,one-on-one support,peer support,group therapy,meals,12-step,emergency food,family counseling,residential treatment,clothing,substance abuse counseling,individual counseling,day camp,personal hygiene,health education,mental health care,nutrition education,short-term housing,case management,mental health evaluation,housing advice,bereavement,temporary shelter,drug testing,virtual support,medical care,recreation,financial education,advocacy & legal aid,Gujarati,Arabic,Armenian,French,Portuguese,American Sign Language,Russian,Haitian,Ukrainian,Hindi,Hebrew,English,Turkish,Spanish,Vietnamese,Khmer,Punjabi,This program serves Delaware County residents.,Centralized Homeless Intake assessment of eligibility required.,This program helps people with income at or below 150% of federal poverty guidelines. Must live in one of the zip codes we service.,Anyone can access this service.,Anyone can access this program.,Must live within our service area.,"This program serves medically fragile, homeless men.","HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.
No referral is needed.
This program helps people with income at or below 150% of federal poverty guidelines.","Must live in postal code 19111, 19120 or 19126.",This program is available to anyone seeking refuge that was recently released from U.S. custody,This program helps people who are younger than 21 years old,This program helps people who are older than 59 years old.,This program serves veterans.,Must reside in the Carroll Park West Philadelphia neighborhood.,This program serves homeless men.,Must have Medicaid.,"For homeless individuals residing in the Philadelphia, PA area.","This program helps people who are 14 to 23 years old.
This program serves Lesbian, Gay, Bisexual, Transgender and Questioning (LGBTQ) youth and young adults, up to the age of 23, and their families/caregivers (biological or by choice)",sexual assault survivors,caregivers,emergency,eating disorder,opioid dependency,near homeless,human trafficking survivors,immigrants,uninsured,suicidal thoughts,parents,adults 18+,individuals,ptsd,all mental health,depression,veterans,trauma survivors,low-income,homeless,natural disaster survivors,transgender or non-binary,lgbtqia+,domestic violence survivors,female,runaways,alcohol dependency,anyone in need,spouses,bipolar,benefit recipients,developmental disability,in crisis,families,children,undocumented,all ages,substance dependency,limited english,refugees,dual diagnosis,seniors,grieving,anxiety,criminal justice history,with children,asian,young adults,mothers,all disabilities,adults,male,teens,chronic illness,Cost_Free,Cost_Reduced Cost,Cost_Sliding Scale,Availability_available,Availability_temporarily closed,Availability_full,sexual assault survivors,caregivers,emergency,eating disorder,opioid dependency,near homeless,human trafficking survivors,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Youth Advocate Programs of Pennsylvania_Intensive Outpatient Programs and Day Treatment-Youth,https://www.auntbertha.com//youth-advocate-programs-of-pennsylvania--philadelphia-pa--intensive-outpatient-programs-%2528iop%2529-day-treatment---youth/6494806799548416?postal=19102,"['addiction & recovery', 'substance abuse counseling', 'counseling', 'individual counseling']",None,"['teens', 'all mental health', 'substance dependency']",215-599-2174,https://www.yapinc.org/Our-Services/Behavioral-Health,"900 West Jefferson Street, Philadelphia,  PA 19122","https://www.google.com/maps/?q=900+West+Jefferson+Street,+Philadelphia,+PA+19122/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"Youth Advocate Programs offers an IOP program for its youth residents. IOP services are different from residential inpatient rehab programs and partial hospitalization programs in that treatment is generally part-time.  However, the intensive outpatient program is far more comprehensive than traditional outpatient programs that only consist of a few therapy sessions.  The IOP consists of numerous weekly therapy sessions at YAP's outpatient facility with experienced counselors (trained in addictions, eating disorders, etc.).Services offered:- Individual therapy- Substance abuse therapyTo make a self referral and inquire about specific services in your area please contact your local county office.",['English'],Free,No,No,https://www.twitter.com/https://twitter.com/YAPInc,"This program covers residents of the following counties: Adams County, PA, Allegheny County, PA, Bedford County, PA, Berks County, PA, Bradford County, PA, Carbon County, PA, Crawford County, PA, Dauphin County, PA, Franklin County, PA, Huntingdon County, PA, Juniata County, PA, Lackawanna County, PA, Lancaster County, PA, Lebanon County, PA, Lehigh County, PA, Mercer County, PA, Mifflin County, PA, Monroe County, PA, Northampton County, PA, Philadelphia County, PA, Pike County, PA, Schuylkill County, PA, Somerset County, PA, Susquehanna County, PA, Wyoming County, PA and York County, PA.",39.9740456,-75.1507073,19121,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Women In Transition_Substance Abuse Intervention,https://www.auntbertha.com//women-in-transition-%2528wit%2529--philadelphia-pa--substance-abuse-intervention/6615452957540352?postal=19102,"['addiction & recovery', 'substance abuse counseling']",None,"['all ages', 'female', 'substance dependency', 'alcohol dependency', 'lgbtqia+', 'transgender or non-binary']",215-751-1111,https://helpwomen.org/substance-abuse-intervention,"21 South 12th Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=21+South+12th+Street,+Philadelphia,+PA+19107/",['Anyone can access this program.'],available,"Substance Abuse Intervention is not a 12-step program, nor is it faith-based; however, we are respectful of each individual's spirituality. We do not require drug tests, but we do ask that you refrain from using drugs or alcohol before you come to your counseling or group sessions.Services Include:- Empowerment counseling for recoveryOur service model recognizes that change and recovery are a process and integrates the concepts of harm reduction into trauma-informed empowerment so that we can better address both relationship violence and substance abuse. Our safe and supportive services help women increase self-esteem and personal awareness about practical issues which are key to a woman's recovery. Services are free and confidential. For more information call 215-751-1111.",['English'],Free,Yes,https://www.facebook.com/WomenInTransitionPhilly/,https://twitter.com/helpwomen,"This program covers residents of the following counties: Philadelphia County, PA.",39.9509969,-75.1597902,19107,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,Closed,Closed
University of Pennsylvania Perelman School of Medicine_Addiction Services,https://www.auntbertha.com//university-of-pennsylvania-perelman-school-of-medicine--philadelphia-pa--addiction-services/5001274926563328?postal=19102,"['addiction & recovery', '12-step', 'substance abuse counseling', 'health education', 'mental health care', 'counseling', 'group therapy', 'individual counseling', 'peer support']",None,"['adults', 'seniors', 'individuals', 'benefit recipients', 'uninsured', 'substance dependency', 'opioid dependency', 'alcohol dependency', 'dual diagnosis']",215-662-8747,https://www.med.upenn.edu/psychiatry/presbyterian_overview.html,"245 South 8th Street,  Philadelphia, PA 19107","https://www.google.com/maps/?q=245+South+8th+Street,+Philadelphia,+PA+19107/",['Must have Medicaid.'],available,"Penn Presbyterian Medical Center offers a wide range of behavior health services, including inpatient and outpatient services for mental health and addiction treatments, and specialty mental health programs for older adults.We offer:- Individual and Group counseling- 12-Step Meetings on campus- Educational materials and support- Relapse prevention groupsFamily support and orientation meetings are available for all patients.We offer specialized programs for:- Alcohol Addiction- Cocaine Addiction- Heroin Addiction- Multi-Substance Addiction- Dual Diagnosis- Medically Complicated Patients- Men and WomenUniversity of Pennsylvania Perelman School of Medicine accepts Medicaid. For those without coverage, assistance with arrangements can be made through our assessment center at 215-662-8747.","['English', 'Spanish']",Reduced Cost,Yes,https://www.facebook.com/MFCPenn/,https://www.twitter.com/https://twitter.com/MFCPenn,"This program covers residents of the following cities: Philadelphia, PA.",39.9465712,-75.1543901,19147,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,8:30 AM - 5:00 PM  EDT,8:30 AM - 7:00 PM  EDT,8:30 AM - 7:00 PM  EDT,8:30 AM - 5:00 PM  EDT,8:30 AM - 5:00 PM  EDT,Closed,Closed
The West Philly Bunny Hop_Free Food for the People,https://www.auntbertha.com//the-west-philly-bunny-hop--yeadon-pa--free-food-for-the-people/6566876511207424?postal=19125,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages', 'individuals', 'families']",484-238-0437,https://www.bunnyhopphl.com/events,"6250 Baltimore Avenue West Philadelphia Philadelphia Lower Merion Township, PA 19050","https://www.google.com/maps/place/The+West+Philly+Bunny+Hop/@39.9420674,-75.2498131,17z/data=!3m1!4b1!4m6!3m5!1s0x89c6c6b2d096eddb:0x7e432ec0671a1e7f!8m2!3d39.9420674!4d-75.2472382!16s%2Fg%2F11kptf2n4m?entry=ttu",['Anyone can access this program.'],available,"The West Philly Bunny Hop distributes food to anyone in need at walk-up sites in Philadelphia. This program provides:- Food to meet basic nutritional needs Walk-up sites are first come, first serve.",['English'],Free,No,https://www.facebook.com/bunnyhopphl/,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9420674,-75.2498131,19050,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
The Salvation Army of Greater Philadelphia_Food Pantry,https://www.auntbertha.com//the-salvation-army-of-greater-philadelphia--philadelphia-pa--food-pantry/5312579722018816?postal=19134,['emergency food'],None,"['all ages', 'individuals', 'families']",570-421-3050,https://easternusa.salvationarmy.org/eastern-pennsylvania/alleviate-hunger/,"1340 Brown Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1340+Brown+Street,+Philadelphia,+PA+19123/",['Must live within our service area.'],available,The Salvation Army provides food supplies to individuals and families in need of assistance. This program provides:- Food to meet basic nutritional needs You must be registered for the food pantry 2 weeks prior.,['English'],Free,No,https://www.facebook.com/SalvationArmyPhiladelphia,https://www.twitter.com/@SalArmyPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9677192,-75.159372,19123,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,7:00 AM - 4:00 PM  EDT,7:00 AM - 4:00 PM  EDT,7:00 AM - 4:00 PM  EDT,7:00 AM - 4:00 PM  EDT,Closed,Closed,Closed
The Greater Philadelphia Community Alliance_Food Distribution,https://www.auntbertha.com//the-greater-philadelphia-community-alliance--philadelphia-pa--food-distribution/5802794918608896?postal=19134,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages', 'low-income']",215-468-1645,https://gpca-phila.org/,"2029 South 8th Street, Philadelphia, PA 19148","https://www.google.com/maps/?q=2029+South+8th+Street,+Philadelphia,+PA+19148/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"We are currently signing up seniors who are 60 years+ for FREE SENIOR FOOD BOXES from our Houston Center location - 2029 S 8th St. Please reach out to us to sign up!

Houston Center 
2029 S 8th St 
215-468-1645

SOUTH PHILLY FOOD DISTRIBUTION SITES 
SEAMAAC - 1711 S Broad St - Mondays and Tuesdays 10-2pm - 215-467-0690

South Philadelphia High School - 2101 Broad St - Fridays 2-3:30pm - 215-847 -5154

Church of Pentecost - 2530 Wharton St - Wednesdays through Fridays 11am-2pm - 215-372-7307

Young Chances Foundation - 2703 Tasker St - Thursdays 11am-4pm - 267-585-2923

Mighty Writers El Futuro - 1025 S 9th St - Mondays through Fridays 11:30am-1pm - 215-602-0236

Macaroni Older Adult Program (60 or older must reserve ahead) - 2433 S 15th St - 215-765-9040

South Philly Older Adult Center (55 or older, no reservation necessary) - 1430 E Passyunk Ave - 215-685-1697

Philadelphia Senior Center Avenue of the Arts - 509 S Broad St (60 or older) - 509 S Broad St - 215-546-5879

St Edmonds Senior Community Center (60 or older) - 2130 S 21st St - 215-790-9530","['American Sign Language', 'English', 'Khmer', 'Spanish', 'Vietnamese']",Free,Yes,https://www.facebook.com/UCSEP,https://www.twitter.com/@UCPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.923234,-75.1595316,19148,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:30 AM - 6:00 PM  EDT,8:30 AM - 6:00 PM  EDT,8:30 AM - 6:00 PM  EDT,8:30 AM - 6:00 PM  EDT,8:30 AM - 6:00 PM  EDT,Closed,Closed
The Behavioral Wellness Center at Girard_Miracles In Progress,https://www.auntbertha.com//the-behavioral-wellness-center-at-girard--philadelphia-pa--miracles-in-progress/4795404263882752?postal=19102,"['substance abuse counseling', 'residential treatment']",None,"['adults 18+', 'male', 'homeless', 'substance dependency']",215-787-2482,https://bewellctr.org/inpatient-drug-alcohol/,"801 West Girard Avenue, Philadelphia, PA 19122","https://www.google.com/maps/?q=801+West+Girard+Avenue,+Philadelphia,+PA+19122/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"The Behavioral Wellness Center's Miracles in Progress program provides long-term recovery services for chronically homeless men with substance use disorders and co-occurring mental health issues. The program is open ended, targeting men who have lived on the streets or in Philadelphia shelters for at least five years.This program provides: - Drug and alcohol treatment for men that are chronically homeless",['English'],Free,Yes,https://www.facebook.com/BeWellatGirard/,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9712194,-75.149293,19122,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT
The Attic Youth Center_Mental Health Counseling,https://www.auntbertha.com//the-attic-youth-center--philadelphia-pa--mental-health-counseling/4914263431577600?postal=19102,"['substance abuse counseling', 'counseling', 'mental health care', 'anger management', 'group therapy', 'family counseling', 'individual counseling']",['virtual support'],"['young adults', 'teens', 'immigrants', 'developmental disability', 'lgbtqia+', 'transgender or non-binary', 'individuals', 'families', 'caregivers', 'trauma survivors', 'domestic violence survivors', 'sexual assault survivors', 'all mental health', 'substance dependency']",215-545-43312,https://atticyouthcenter.org/services/youth-programming/mental-health-counseling,"255 South 16th Street, Philadelphia, PA 19102","https://www.google.com/maps/?q=255+South+16th+Street,+Philadelphia,+PA+19102/","['This program helps people who are 14 to 23 years old.\nThis program serves Lesbian, Gay, Bisexual, Transgender and Questioning (LGBTQ) youth and young adults, up to the age of 23, and their families/caregivers (biological or by choice)']",available,"The Counseling Department of The Attic Youth Center provides counseling services to LGBTQ youth and young adults and their families/caregivers (biological or by choice). This service uses an LGBTQ affirmative and strength based approach that it is contextual, developmental and culturally sensitive.  This program provides: - Individual therapy- Group therapy- Family and couples therapyThe Attic's clinical team is skilled in addressing a variety of challenges including:- Coming out- Gender questions- Problems at school- Depression and anxiety- Trauma and PTSD- Sexual abuse- Substance abuse- Violence and domestic violence- Anger management- Immigration transitions- Developmental delays- Behavioral and family dynamics as related to the LGBTQ experienceAll Attic counselors and therapists are masters or PhD level and have significant experience working with LGBTQ youth.  To inquire about counseling or to make an appointment, please call The Attic's counseling line and leave a confidential voicemail message with your name and the best way to reach you. A staff member will return your call. You can also reach out by email.All counseling services are currently virtual.",['English'],Free,Yes,https://www.facebook.com/TheAtticYouthCenter/,https://www.twitter.com/@atticyouthcen,"This program covers residents of the following counties: Philadelphia County, PA.",39.9477596,-75.1678542,19145,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,Closed,Closed
Stenton Family Manor_Homeless Shelter,https://www.auntbertha.com//stenton-family-manor--philadelphia-pa--homeless-shelter/5186727883833344?postal=19114,['temporary shelter'],"['meals', 'personal hygiene']","['all ages', 'homeless']",215-685-2800,None,"1300 East Tulpehocken Street,  Philadelphia,  PA  19138","https://www.google.com/maps/?q=1300+East+Tulpehocken+Street,+Philadelphia,+PA+19138/","['For homeless individuals residing in the Philadelphia, PA area.']",available,Stenton Family Manor offers a homeless shelter to those in need of a place to stay.This program provides:- Temporary shelter Intake process is done at the Apple Tree Family Center.,"['English', 'Haitian']",Free,Yes,https://www.facebook.com/StentonFamilyManor,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0559837,-75.1647762,19119,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,Closed,Closed
St. Barbara's Roman Catholic Church_Food Baskets,https://www.auntbertha.com//st.-barbara%2527s-roman-catholic-church--philadelphia-pa--food-baskets/5175494499368960?postal=19125,['emergency food'],None,"['anyone in need', 'all ages', 'individuals', 'families']",215-473-1044,https://stbarbphila.org/events/food-pantry-ph,"5359 Lebanon Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=5359+Lebanon+Avenue,+Philadelphia,+PA+19131/",[Follow the Next Steps to find out if this program has eligibility criteria.],temporarily closed,"St. Barbara's Roman Catholic Church helps alleviate hunger in the community in an environment of respect, care and hospitality. This program provides:  - Food to meet basic nutritional needsPlease call for any updated information.",['English'],Free,Yes,https://www.facebook.com/Saint-Barbara-Church-Phila-327434157812615,https://www.twitter.com/@SaintBarbPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9879752,-75.2314405,19131,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Closed,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,6:30 PM - 8:00 PM,12:00 PM - 6:00 PM,Closed
