Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,Arabic,Spanish,Russian,Portuguese,Chinese,English,Vietnamese,Korean,caregivers,trauma survivors,low-income,dual diagnosis,adults,benefit recipients,young adults,developmental disability,opioid dependency,substance dependency,female,with children,chronic illness,alcohol dependency,latino,limited english,eating disorder,african american,criminal justice history,seniors,domestic violence survivors,teens,near homeless,all ages,families,individuals,spouses,all mental health,parents,sexual assault survivors,immigrants,veterans,grieving,male,suicidal thoughts,ptsd,homeless,uninsured,asian,refugees,lgbtqia+,bipolar,anxiety,children,hiv/aids,transgender or non-binary,mothers,adults 18+,all disabilities,undocumented,depression,peer support,bereavement,group therapy,psychiatric emergency services,case management,medications for mental health,checkup & test,drug testing,daily life skills, family counseling,residential care,"counseling, group therapy",one-on-one support,counseling counseling,12-step,help hotlines,parenting education,outpatient,peer recovery coaching,virtual support,substance abuse counseling,navigating the system,addiction & recovery,disease screening,residential treatment,understand mental health,support network,medical care,mental health evaluation,sober living,specialized therapy,anger management, outpatient treatment,individual counseling,spiritual support,government benefits,addiction and recovery,prescription assistance,counseling,treatment,family counseling,community support services,mental health care,prevent & treat,short-term housing,safe housing,counseling medical care,outpatient treatment,detox,residential housing,medications for addiction,support groups,health education,long-term housing,temporary shelter,medication management,substance abuse,meals,skills & training,interview training, resume development,help find work,job placement,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Greater Philadelphia Asian Social Service Center (GPASS)_Outpatient Treatment Program,https://www.auntbertha.com//greater-philadelphia-asian-social-service-center-%2528gpass%2529--philadelphia-pa--outpatient-treatment-program/5518091445075968?postal=19141,"['outpatient', 'treatment', 'substance abuse counseling', 'group therapy', 'individual counseling']",None,"all ages, immigrants, refugees, undocumented individuals, asian, substance, dependency",215-456-1662,https://www.gpasspa.org/,"4943 North 5th Street, Philadelphia, PA 19120","https://www.google.com/maps/?q=4943+North+5th+Street,+Philadelphia,+PA+19120/","Must live in Logan/Olney, North Kensington, Germantown, Lawndale and Hunting Park areas. This program primarily serves first and second generation immigrant communities.",available,"Greater Philadelphia Asian Social Service Center offers Outpatient Treatment and Intensive Outpatient Treatment to individuals struggling with struggling with substance abuse, depending on the level of care needed. Clients take part in group and individual therapy sessions that are tailored to equipping them with the coping skills that are necessary to achieve and maintain a lasting recovery.Services include:- Individual counseling- Group counselingIf you feel you require substance abuse treatment, please call and discuss your concerns with a staff member. You will be scheduled for an intake appointment.Greater Philadelphia Asian Social Service Center accepts Medicare and Medicaid.","Chinese, English, Korean, Spanish, Vietnamese",Reduced Cost,Yes,https://www.facebook.com/gpass19120/,https://www.twitter.com/@gpass19120,"This program covers residents of the following postal codes: 19111, 19125, 19138, 19140, 19141 and 19144.",40.0269311,-75.1323547,19120,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9:00 AM - 8:00 PM  EDT,9:00 AM - 8:00 PM  EDT,9:00 AM - 8:00 PM  EDT,9:00 AM - 8:00 PM  EDT,9:00 AM - 8:00 PM  EDT,Closed,Closed,No
Asociacion Puertorriquenos en Marcha_Substance Use Treatment,https://www.auntbertha.com//asociacin-puertorriqueos-en-marcha-%2528apm%2529--philadelphia-pa--substance-use-treatment/5348732074983424?postal=19141,"['addiction and recovery', 'outpatient treatment', 'substance abuse counseling', 'medications for addiction', 'group therapy', 'individual counseling']",None,"adults, young adults, teens, seniors, benefit recipients, low-income, uninsured, limited english, latino, substance dependency,  opioid dependency",267-296-7220,https://apmphila.org/how-we-help/health/substance-use-treatment/,"4301 Rising Sun Avenue, Philadelphia, PA 19140","https://www.google.com/maps/?q=4301+Rising+Sun+Avenue,+Philadelphia,+PA+19140/",This program serves adolescents and adults with substance use and related disorders.,available,"APM provides intensive and regular outpatient services to adolescents and adults with substance use and related disorders. Their staff are bilingual, culturally sensitive, and ready to meet the specific needs of individuals.Available services include: - Individual therapy sessions with a trained Substance use Counselor- Group sessions- Relapse prevention- Behavioral Health Education- Monthly Medication Management appointments with a physician- Medication Assisted Treatment (MAT) APM accepts Medicaid and offers a sliding fee scale based on income to uninsured patients. Contact one of the clinic locations to get started. Participants must complete the intake process, including urine screening and laboratories, and be examined by a therapist and physicians.","Arabic, Chinese, English, Korean, Portuguese, Russian, Spanish",Sliding Scale,Yes,https://www.facebook.com/apmforeveryone,https://twitter.com/APMforEveryone,"This program covers residents of the following counties: Philadelphia County, PA.",40.0158615,-75.1290898,19140,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,7:00 AM - 6:00 PM  EDT,7:00 AM - 6:00 PM  EDT,7:00 AM - 6:00 PM  EDT,7:00 AM - 6:00 PM  EDT,7:00 AM - 6:00 PM  EDT,Closed,Closed,No
Wedge Recovery Center_The Recovery and Education Center,https://www.auntbertha.com//wedge-recovery-center--philadelphia-pa--the-recovery-%2526-education-center-%2528rec%2529/4689179354857472?postal=19142,"['addiction and recovery', 'outpatient treatment', 'substance abuse counseling', 'medication management', 'mental health care', 'group therapy', 'individual counseling', 'understand mental health', 'community support services', 'peer support', 'spiritual support', 'support groups']",None,"adults 18+,benefit recipients,all mental health,substance dependency,opioid dependency,alcohol dependency,dual diagnosis,lgbtqia+",215-276-3922,https://www.wedgepc.com/rec-mental-health-day-programs/,"3604 Germantown Avenue, Philadelphia, PA 19140","https://www.google.com/maps/?q=3604+Germantown+Avenue,+Philadelphia,+PA+19140/",Follow the Next Steps to find out if this program has eligibility criteria.,available,"Wedge Recovery Center's Recovery & Education Center (REC) is a day program that combines Outpatient Mental Health Services and Psychiatric Rehabilitation to provide specialized services for individuals who carry a diagnosis of a major mood disorder, a psychotic disorder and/or Borderline Personality Disorder to ensure people in recovery have a safe space to redefine themselves. We offer: - Educational groups- Peer Support- Health, Wellness, and Faith-Based services- Community-based Support and Learning- Individual Therapy and Crisis Support- Group Therapy- Psychiatry (Medication Management)- Co-occurring (Mental Health and Drug & Alcohol) Support- Optional Older Adult ProgramOur ultimate goal is to help a person understand that they are a valued and needed part of society. No person's recovery journey is the same, therefore there is no standard timeframe on REC services. Scheduling is choice-driven; members choose from the ''menu'' of services for the days, times, and activities that best fit their personal needs. The Older Adult Program is open on Saturdays, as well.Once a person completes the REC program they are welcome to transition to our Mental Health Outpatient program. If a person wishes to attend REC, they are able to do so right away; there is no waiting time for starting REC services.We accept Medicaid insurance for all of our REC services.",English,Reduced Cost,Yes,https://www.facebook.com/wedgerecoverycenters/,https://www.twitter.com/@WedgeRecovery,"This program covers residents of the following counties: Philadelphia County, PA.",40.007689,-75.1504637,19140,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Wedge Recovery Center_Early Intervention Program,https://www.auntbertha.com//wedge-recovery-center--philadelphia-pa--early-intervention-program/6272068172382208?postal=19150,"['drug testing', 'substance abuse counseling', 'parenting education', 'counseling', 'group therapy', 'family counseling', 'understand mental health']",None,"young adults,teens,children,families,caregivers,substance dependency",215-276-3922,https://www.wedgepc.com/early-intervention-program/,"3609 North Broad Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=3609+North+Broad+Street,+Philadelphia,+PA+19140/",This program helps people who are 12 to 21 years old. Must attend weekly individual and family counseling; Group psychoeducation and parenting education occur for 6 hours/week over an 8 week period.,available,"Wedge Recovery Center offers the Early Intervention Program for Philadelphia residents between the ages 12-21 who are currently using substances or who are otherwise at risk for substance abuse because of factors in the environmental, school, legal, family, mental health, peer & social, and dependency system domains.We offer:- Substance Use Screening and Assessment- Evidenced-based Substance Abuse Education- Intervention Counseling- Family Counseling- Community/School/Child service outreach- Individualized Service Planning- Group Psychoeducational Sessions- Parental Education/Consultation- Service Linkage",English,Reduced Cost,Yes,https://www.facebook.com/wedgerecoverycenters/,https://www.twitter.com/@WedgeRecovery,"This program covers residents of the following counties: Philadelphia County, PA.",40.007973,-75.151088,19140,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 5:00 PM  EDT,9:00 AM - 1:00 PM  EDT,Closed,Yes
Public Health Management Corporation_The Bridge,https://www.auntbertha.com//public-health-management-corporation-%2528phmc%2529--philadelphia-pa--the-bridge/5181712996761600?postal=19141,"['long-term housing', 'short-term housing', 'sober living', 'addiction & recovery', 'outpatient treatment', 'substance abuse counseling', 'daily life skills', 'individual counseling', 'support network', 'one-on-one support']",None,"teens,female,male,substance dependency,alcohol dependency",215-342-5000,https://thebridge.phmc.org/,"1100 Adams Avenue, Philadelphia, PA 19124","https://www.google.com/maps/?q=1100+Adams+Avenue,+Philadelphia,+PA+19124/",This program helps people who are 14 to 18 years old. Referral is required to access this program.,available,"The Bridge provides quality, accessible treatment while preparing clients to re-enter their communities as drug-and alcohol-free members of society.  Individualized treatment plans are created to meet clients' needs and clients have access to the comprehensive addictions, mental health, educational and life skills services provided at The Bridge.This program provides:- Individual Counseling- Substance Abuse Counseling- Mental Health Care- Short term housing- Long term housing- Addiction & Recovery",English,Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0169967,-75.0946038,19124,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Friends Hospital_Adult Behavioral Health Inpatient Treatment,https://www.auntbertha.com//friends-hospital--philadelphia-pa--adult-behavioral-health-inpatient-treatment/5638513518444544?postal=19142,"['residential treatment', 'substance abuse', 'counseling medical care', 'counseling', 'residential care']",None,"adults 18+, depression, all mental health, substance dependency",215-831-2600,https://friendshospital.com/programs-and-services/adults/,"4641 Roosevelt Boulevard, Philadelphia, PA 19124","https://www.google.com/maps/?q=4641+Roosevelt+Boulevard,+Philadelphia,+PA+19124/",Must be between the ages of 18 to 65.,available,"Friends Hospital's Adult Behavioral Health Inpatient Program helps individuals understand their condition and develop healthy alternative behaviors. The hospital has several specialized adult units to meet the varied needs of its patients. This includes an intensive adult unit for individuals with severe and persistent mental illness and our recovery unit.This program provides:- Treatment for all major psychiatric disorders and co-occurring substance issues- Recovery-oriented approach that emphasizes the patient's support systems, strengths and community connections- Individual, group and family therapy- Individualized treatment, wellness and discharge plans- Private bedrooms with unit access to an enclosed outside courtyardAlmost all major health insurances, including Medicare are accepted. It is the policy of Friends Hospital not to create a financial hardship for any patient. If necessary, a payment plan appropriate to the patient's financial status can be established. To make the admission process go as smoothly as possible, please download and complete the authorization completion instructions and authorization to obtain or release protected health information form. To schedule a confidential assessment or learn more about the admission process, please call the admission department.",English,Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0261684,-75.1010134,19124,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Overington House Inc_Mental Health Assistance,https://www.auntbertha.com//overington-house-inc--philadelphia-pa--mental-health-assistance/5928074864492544?postal=19142,"['short-term housing', 'sober living', 'addiction & recovery', 'substance abuse counseling', 'mental health care']",None,"adults 18+, individuals, all mental health, substance dependency, alcohol dependency",215-613-7121,http://www.joyoflivingrecovery.org/,"4716 Leiper Street, Philadelphia, PA 19124","https://www.google.com/maps/?q=4716+Leiper+Street,+Philadelphia,+PA+19124/",Families not be eligible to participate in the city's housing voucher program upon graduation. This program helps people who are older than 18 years old.,available,"Overington House Inc offers services to children, adolescents, and adults who are facing depression, anxiety, or other mental health concerns. The program's experienced, compassionate specialists help each patient find the treatment options that will work best for their unique situation.This program provides:- Case management- Mental health assessment- Intensive outpatients referrals- Judicial advocacy- Medication monitoring",English,Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0186938,-75.0858672,19124,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9:00 AM - 4:30 PM  EDT,9:00 AM - 4:30 PM  EDT,9:00 AM - 4:30 PM  EDT,9:00 AM - 4:30 PM  EDT,9:00 AM - 4:30 PM  EDT,Closed,Closed,No
Hispanic Community Counseling Services_Adult Outpatient Services,https://www.auntbertha.com//hispanic-community-counseling-services-%2528hccs%2529--philadelphia-pa--adult-outpatient-services/5373543795916800?postal=19149,"['substance abuse counseling', 'group therapy', ' family counseling', 'individual counseling', 'medications for mental health', 'mental health evaluation', 'virtual support']",None,"adults 18+, limited english, latino, all mental health substance, dependency",215-425-6900,https://www.hccsphila.org/adult-outpatient-services,"3221 Kensington Avenue, Philadelphia, PA 19134","https://www.google.com/maps/?q=3221+Kensington+Avenue,+Philadelphia,+PA+19134/",This program accepts Medicaid and Medicare.,available,"The Adult Outpatient Services provide assessment, diagnosis, and treatment to individuals requiring mental health or dual diagnosis treatment (treatment of mental health plus substance use). The outpatient treatment team consists of trained professionals including psychiatrists, licensed therapists, psychiatric technicians, counselors, and support staff. Focus areas include mental health and substance use assessment, psychiatric assessment and evaluation for medication, medication monitoring, limited individual counseling, group counseling, bilingual counseling services, interpreter services, benefits services, and community services referral.Common diagnoses for clients at HCCS include disorders of mood, anxiety, personality, addiction and psychosis. HCCS currently offers the following services within the traditional outpatient menu of services:- Psychiatric Evaluation- Medication Managemen- Individual Counseling- Family Therapy- Group Therapy- Psychological Testing and evaluation- Co-occurring Services - Mobile Therapy - Perinatal Depression Treatment servicesHispanic Community Counseling Services accepts Medicare and Medicaid.","English, Portuguese, Russian, Spanish",Reduced Cost,Yes,https://www.facebook.com/hccsphilly,https://twitter.com/hccs_philly,"This program covers residents of the following cities: Philadelphia, PA.",39.9967634,-75.1124163,19124,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 8:00 PM  EDT,8:00 AM - 6:00 PM  EDT,Closed,No
COMHAR Inc_PACTS Outpatient Evaluation and Treatment,https://www.auntbertha.com//comhar%252C-inc.--philadelphia-pa--pacts-outpatient-evaluation-and-treatment/4955538569953280?postal=19141,"['medication management', 'mental health care', 'counseling', 'substance abuse counseling', 'family counseling', 'individual counseling', 'mental health evaluation', 'outpatient treatment', 'psychiatric emergency services']",None,"adults 18+, lgbtqia+, hiv/aids, individuals,families, benefit recipients, uninsured, domestic violence survivors, sexual assault survivors, all mental health, less, substance dependency, dual diagnosis",267-861-4382,https://www.comhar.org/hiv-aids-lgbtqi-outreach,"3147 Emerald Street, Philadelphia, PA 19134","https://www.google.com/maps/?q=3147+Emerald+Street,+Philadelphia,+PA+19134/",This program helps people who are older than 17 years old.,available,"PACTS is an outpatient behavioral health program that provides psychotherapy for individuals, couples or families who identify as LGBTQI or are living with HIV/AIDS. This program provides:- Counseling- Medication managementPACTS provides counseling for an array of issues including depression, anxiety, physical and sexual abuse, sexual violence, alcohol or other drug use, as well as medication management and psychiatric services. Through current funding resources, COMHAR is able to provide low to no cost care for individuals that do not have insurance. Please reach out to COMHAR for more details.","English, Spanish",Sliding Scale,No,https://www.facebook.com/Open-Door-Clubhouse-893763780697216/,None,"This program covers residents of the following counties: Montgomery County, PA, Northampton County, PA and Philadelphia County, PA.",39.9935988,-75.112315,19134,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 8:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,Closed,Closed,No
CORA Services_Community Services Division,https://www.auntbertha.com//cora-services--philadelphia-pa--community-services-division/4721819823112192?postal=19141,"['outpatient treatment', 'counseling', 'substance abuse counseling']",None,"adults,young adults,teens,children,substance dependency",215-342-7660,https://www.coraservices.org/,"8540 Verree Rd, Philadelphia,  PA 19111","https://www.google.com/maps/?q=8540+Verree+Rd,+Philadelphia,+PA+19111/",Follow the Next Steps to find out if this program has eligibility criteria.,available,This program offers substance dependency treatment services on a sliding scale fee.,English,None,No,https://www.facebook.com/CORAServices,None,"This program covers residents of the following counties: Bucks County, PA, Burlington County, PA, Camden County, PA, Cecil County, PA, Chester County, PA, Delaware County, PA, Gloucester County, PA, Montgomery County, PA, New Castle County, PA, Philadelphia County, PA and Salem County, PA.",40.0815991,-75.0681783,19111,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
